sequence_index,state,stroke_id,waypoint_index,pen_down,x_m,y_m,z_m
0,APPROACH_STROKE_0,0,0,0,0.36980726381592555,0.0006356942472813227,0.41196759173026287
1,APPROACH_STROKE_0,0,1,0,0.37072901940424824,0.0012687815055227526,0.41033578033106444
2,APPROACH_STROKE_0,0,2,0,0.37165077499257093,0.0019018687637641822,0.40870396893186606
3,APPROACH_STROKE_0,0,3,0,0.3725725305808936,0.0025349560220056123,0.4070721575326676
4,APPROACH_STROKE_0,0,4,0,0.3734942861692163,0.003168043280247042,0.4054403461334692
5,APPROACH_STROKE_0,0,5,0,0.374416041757539,0.0038011305384884715,0.40380853473427075
6,APPROACH_STROKE_0,0,6,0,0.3753377973458617,0.0044342177967299015,0.4021767233350723
7,APPROACH_STROKE_0,0,7,0,0.3762595529341844,0.0050673050549713316,0.40054491193587394
8,APPROACH_STROKE_0,0,8,0,0.3771813085225071,0.005700392313212762,0.3989131005366755
9,APPROACH_STROKE_0,0,9,0,0.3781030641108298,0.006333479571454191,0.39728128913747707
10,APPROACH_STROKE_0,0,10,0,0.37902481969915247,0.006966566829695621,0.39564947773827863
11,APPROACH_STROKE_0,0,11,0,0.3799465752874752,0.00759965408793705,0.3940176663390802
12,APPROACH_STROKE_0,0,12,0,0.3808683308757979,0.00823274134617848,0.3923858549398818
13,APPROACH_STROKE_0,0,13,0,0.3817900864641206,0.00886582860441991,0.3907540435406834
14,APPROACH_STROKE_0,0,14,0,0.3827118420524433,0.009498915862661338,0.38912223214148495
15,APPROACH_STROKE_0,0,15,0,0.383633597640766,0.01013200312090277,0.3874904207422865
16,APPROACH_STROKE_0,0,16,0,0.3845553532290887,0.010765090379144198,0.38585860934308813
17,APPROACH_STROKE_0,0,17,0,0.3854771088174114,0.01139817763738563,0.3842267979438897
18,APPROACH_STROKE_0,0,18,0,0.38639886440573407,0.012031264895627058,0.38259498654469126
19,APPROACH_STROKE_0,0,19,0,0.38732061999405676,0.012664352153868488,0.3809631751454928
20,APPROACH_STROKE_0,0,20,0,0.38824237558237945,0.013297439412109919,0.3793313637462944
21,APPROACH_STROKE_0,0,21,0,0.38916413117070214,0.013930526670351348,0.37769955234709596
22,APPROACH_STROKE_0,0,22,0,0.39008588675902484,0.014563613928592777,0.3760677409478976
